,model_name,case,LOF,accuracy,adjusted_balanced_accuracy,balanced_accuracy,f1,geometric_mean,roc_auc,fit_time,predict_time
0,SVC,ternary,untransformed,0.6424272656671616,0.30819451527681324,0.5387963435178754,0.6100173615966537,0.45389687648206023,0.6548875167061103,187.5356032371521,29.332842111587524
1,RidgeCV_b,ternary,minkowski,0.5701543567562035,0.358644225128404,0.5724294834189361,0.5759863368488993,0.5660455579512336,0.6742644717697768,35.380148839950564,0.5152032852172852
2,LogRegCV_b,ternary,minkowski,0.5707711976677884,0.3571850271162931,0.5714566847441954,0.577094653074625,0.5659710556320755,0.7583173729151843,471.9259496688843,0.5080092430114747
3,RidgeCV_b,ternary,untransformed,0.5709171701526498,0.359983034597045,0.5733220230646967,0.5768475220867317,0.5670945453088825,0.6750365789583663,37.901859760284424,0.5277007579803467
4,LogRegCV_b,ternary,untransformed,0.5725907999188158,0.35958041316095984,0.5730536087739732,0.578942470026859,0.5677272172938556,0.7587476579202554,477.7793507575989,0.5014840602874756
5,SGD_b,ternary,untransformed,0.5984628928516276,0.34227030190895985,0.5615135346059733,0.5959785835611797,0.5401604158505248,0.6686132706151531,14.681113386154175,0.5104040145874024
6,SGD_b,ternary,minkowski,0.6024744667660688,0.33922064486712966,0.5594804299114198,0.5984074823946919,0.5353712912667612,0.6674601186978509,14.6564790725708,0.5165966033935547
7,LinearSVC,ternary,minkowski,0.6121686334310106,0.29472822601222703,0.5298188173414847,0.5946167742996236,0.4804603602400387,0.6470401003469399,656.5660559654236,0.52877836227417
8,LinearSVC,ternary,untransformed,0.6123713473343267,0.2946579642449689,0.5297719761633126,0.5947266812471627,0.4802403119999331,0.6469888429065863,682.6213766098023,0.5081856727600098
9,RidgeCV,ternary,minkowski,0.6124546052389064,0.28729367705283443,0.5248624513685562,0.5921041431571344,0.4694345453419001,0.643601307793285,35.167884540557864,0.52182035446167
10,RidgeCV,ternary,untransformed,0.6126033092802984,0.2870937017052519,0.5247291344701679,0.5921535532819585,0.46913186520748196,0.6434885096002934,52.336690521240236,0.5193995952606201
11,SGD,ternary,minkowski,0.6149530575435592,0.2860371797560301,0.5240247865040201,0.5894491577747187,0.4518498295497082,0.6431077948703777,13.09130792617798,0.5149795532226562
12,SGD,ternary,untransformed,0.6179600338430985,0.2944129980387507,0.5296086653591671,0.5933497476284518,0.4587848919024733,0.6472842208134988,13.75240225791931,0.5077000617980957
13,SVC,ternary,minkowski,0.6417731366689783,0.3061932100516084,0.5374621400344056,0.6086205231782588,0.4500614444630277,0.6539117160217434,179.768803691864,27.818121194839478
14,SVC_b,ternary,minkowski,0.6417731366689783,0.3061932100516084,0.5374621400344056,0.6086205231782588,0.4500614444630277,0.6539117160217434,179.48473830223082,27.804647159576415
15,SVC_b,ternary,untransformed,0.6424272656671616,0.30819451527681324,0.5387963435178754,0.6100173615966537,0.45389687648206023,0.6548875167061103,200.75114254951478,28.686790943145752
16,GaussianNB,ternary,minkowski,0.49405072110224085,0.2066460526240753,0.47109736841605016,0.4982876154067274,0.4609677829074978,0.6649609824130231,2.978293466567993,1.0260632991790772
17,GaussianNB,ternary,untransformed,0.4934863953816405,0.20649946459078522,0.47099964306052344,0.49748812590005115,0.4607356110696427,0.6649121477170723,3.3486196517944338,1.0455788135528565
