,model_name,case,preprocessing,accuracy,adjusted_balanced_accuracy,balanced_accuracy,f1,geometric_mean,roc_auc,fit_time,predict_time
0,SVC_b,ternary,LOF+LDA,0.6312669428834278,0.3187783261770334,0.5458522174513556,0.60954800811015,0.48528652728411503,0.6594468989154582,289.53972363471985,43.04447813034058
1,LogRegCV_b,ternary,LOF-LDA,0.5730811762593048,0.35067593526496865,0.5671172901766457,0.5794882204346203,0.5620764027222309,0.7498873233822202,2.218290090560913,0.00040044784545898435
2,RidgeCV_b,ternary,LOF-LDA,0.573174774324303,0.35227599737728077,0.5681839982515206,0.5790307346608039,0.5618063738916395,0.6718086350099405,0.10603137016296386,0.003124523162841797
3,LogRegCV_b,ternary,LOF+LDA,0.5741070061332947,0.35293961364732324,0.5686264090982155,0.5803481986442595,0.5636432958534077,0.7524940698358256,441.0710347175598,0.17118730545043945
4,SGD_b,ternary,LOF-LDA,0.5876227732892088,0.33159251676715445,0.554395011178103,0.5894147695898584,0.5417996330370684,0.6632727888908072,0.1379769802093506,0.004435348510742188
5,SGD_b,ternary,LOF+LDA,0.594001669957895,0.3317770471392725,0.5545180314261817,0.5935774693313502,0.5377790175530495,0.6639959488776069,13.792927551269532,0.1576162338256836
6,GaussianNB,ternary,LOF-LDA,0.6076293879118535,0.29239935914793935,0.5282662394319596,0.5924811062667521,0.4863660910647917,0.7474362210942923,0.014399909973144531,0.0037333488464355467
7,SGD,ternary,LOF+LDA,0.6077077791236395,0.28450056812436963,0.5230003787495798,0.588477062552828,0.4691592304275308,0.6421040548813732,14.794149017333984,0.17458148002624513
8,SGD,ternary,LOF-LDA,0.6081686219020601,0.289564296262697,0.5263761975084646,0.591156031554859,0.4777671895760774,0.6445283623518684,0.12612638473510743,0.0
9,LinearSVC,ternary,LOF+LDA,0.6097491309735126,0.2940675861318327,0.5293783907545551,0.593452549411999,0.48264153370960494,0.6466502947305832,806.1000359535217,0.15744991302490235
10,SVC_b,ternary,LOF-LDA,0.6104172580665317,0.2944171734743599,0.5296114489829067,0.5923493743257097,0.47878509915925277,0.6460839875367004,52.901665163040164,0.8643309593200683
11,SVC,ternary,LOF-LDA,0.6104172580665317,0.2944171734743599,0.5296114489829067,0.5923493743257097,0.47878509915925277,0.6460839875367004,51.581845664978026,0.8129860401153565
12,LinearSVC,ternary,LOF-LDA,0.6105973044088464,0.29287218477806365,0.528581456518709,0.5936719943143566,0.4812238131371819,0.6460761113628127,6.088405895233154,0.0031229972839355467
13,RidgeCV,ternary,LOF+LDA,0.6113111092382006,0.2871250657180111,0.5247500438120073,0.5915138032622618,0.47037332027654094,0.6434630038877888,34.19848508834839,0.17586326599121094
14,RidgeCV,ternary,LOF-LDA,0.6113361914027908,0.28717040894888457,0.5247802726325896,0.591538804343625,0.4703991521220348,0.6434864648357133,0.10256805419921874,0.001996612548828125
15,SVC,ternary,LOF+LDA,0.6312669428834278,0.3187783261770334,0.5458522174513556,0.60954800811015,0.48528652728411503,0.6594468989154582,294.0299407958984,43.47447447776794
16,RidgeCV_b,ternary,LOF+LDA,0.5700708540055291,0.3569262802580853,0.5712841868387235,0.5760854364606792,0.5651022637146581,0.673591129320324,33.85415120124817,0.1360954761505127
17,GaussianNB,ternary,LOF+LDA,0.5071655757071817,0.22561614313006673,0.4837440954200445,0.511115941041046,0.47377050192437453,0.6774239735860694,4.359340667724609,1.0312576770782471
