,avg_cv_predict_time,avg_cv_balanced_accuracy,model_name,avg_cv_f1,avg_cv_fit_time,case
0,0.33602158228556317,0.431314056773956,AdaBoostClassifier,0.49696428243787133,164.92885025342306,ternary
1,0.0,0.3333333333333333,DummyClassifier,0.39221209123133266,0.000333865483601888,ternary
2,2618.3612236976624,0.3970038156457402,GaussianProcessClassifier,0.4577925369826712,3059.96454278628,ternary
3,0.2476823329925537,0.4161667877920033,LGBMClassifier,0.49408898668971446,37.85377065340678,ternary
4,0.0863656997680664,0.5416300050036945,LogisticRegression,0.5991244300334911,3.6820853551228843,ternary
5,0.052415053049723305,0.5502742483623333,MLPClassifier,0.6048393822844499,55.2161480585734,ternary
6,0.17675511042277017,0.36569371905680276,RandomForestClassifier,0.4313119103466068,4.678738196690877,ternary
7,0.028102397918701172,0.5356286213608613,RidgeClassifier,0.5984833849045336,0.9320104916890463,ternary
8,0.15618197123209634,0.5525552025102446,SGDClassifier,0.5993286633570145,4.054985682169597,ternary
9,1.9327675501505535,0.5169395760340064,SVC,0.5925378996414303,29.30388633410136,ternary
10,0.13548549016316733,0.4789873093482564,XGBClassifier,0.5570064005686137,404.23387416203815,ternary
