,model_name,avg_cv_fit_time,case,avg_cv_predict_time,avg_cv_f1,avg_cv_balanced_accuracy
0,AdaBoostClassifier,136.35182531674704,neutral,0.2256467342376709,0.7690937654641844,0.6038373649751819
1,DummyClassifier,0.00034499168395996094,neutral,0.0,0.719101371054678,0.5
2,LGBMClassifier,13.845972458521524,neutral,0.2144627571105957,0.7554611654114559,0.54694182398093
3,LogisticRegression,2.5527010758717856,neutral,0.02602847417195638,0.8149027025019461,0.6744312274757057
4,MLPClassifier,42.373281478881836,neutral,0.04399895668029785,0.8251595688586376,0.699065940627408
5,RandomForestClassifier,3.187889893849691,neutral,0.15827218691507974,0.7216574734258172,0.503205975660776
6,RidgeClassifier,0.8735597133636475,neutral,0.024729808171590168,0.8057055373928302,0.649730034886089
7,SGDClassifier,2.501856009165446,neutral,0.14997053146362305,0.8066145936360624,0.6659530707288069
8,SVC,16.512986342112224,neutral,1.1978991031646729,0.8036779431924551,0.6329778028248578
9,XGBClassifier,123.63652118047078,neutral,0.10322531064351399,0.7773487437590484,0.5948910643502001
