,avg_cv_fit_time,avg_cv_f1,model_name,case,avg_cv_balanced_accuracy,avg_cv_predict_time
0,133.3926080862681,0.6360456210248221,AdaBoostClassifier,posneg,0.5569551194197572,0.30305107434590656
1,0.0,0.5596603711799916,DummyClassifier,posneg,0.5,0.0
2,42.76874486605326,0.5911340508013478,LGBMClassifier,posneg,0.5148391631696324,0.3092206319173177
3,4.668652296066284,0.6724430547787454,LogisticRegression,posneg,0.5989158728085229,0.03469332059224447
4,62.96508495012919,0.684544310652122,MLPClassifier,posneg,0.611884714937808,0.06838091214497884
5,7.4149361451466875,0.5670270011188178,RandomForestClassifier,posneg,0.503902293383637,0.22616052627563477
6,1.6761810779571533,0.6716079052340579,RidgeClassifier,posneg,0.5967234704119625,0.03669492403666178
7,2.91073211034139,0.6687866753361771,SGDClassifier,posneg,0.5949521506181354,0.1914684772491455
8,52.573739767074585,0.6629365364453568,SVC,posneg,0.583148061763458,3.5822121302286782
9,356.99788149197894,0.6394804868003438,XGBClassifier,posneg,0.5571228828635818,0.26290051142374676
